0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:03:08 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:03:27 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:04:47 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:04:51 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:04:54 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:04:54 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:04:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:10:43 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:22:43 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:22:58 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:22:58 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:22:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:23:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2966
